ident,latitude_deg,longitude_deg,iata_code
SJUQ,-19.739436,-52.606647,
BR-2731,-19.585548,-52.95148,
SJWW,-20.02138900756836,-53.21611022949219,
BR-2756,-19.947849,-48.035496,
BR-1605,-14.883889,-47.641389,
SSZT,-22.794166564941406,-49.34111022949219,
BR-0942,-22.7976,-49.269128,
BR-0789,-22.745532,-49.291213,
BR-2158,-12.175078,-38.380055,
SNCW,-2.373,-44.3964,
SNMV,-18.347233,-53.751654,
SINR,-18.007405,-54.009289,
SIXV,-18.145292,-53.363466,
BR-1794,-17.949702,-53.897262,
SDS8,-18.024762,-53.262527,
BR-0571,-17.936111,-53.904722,
SWHM,-18.3125,-53.662833,
SNC4,-4.661431,-43.506733,
SSOR,-29.817701,-55.714634,
BR-2918,-29.436281,-56.293892,
SJWG,-29.780277252197266,-55.69722366333008,
SDX7,-29.804506,-55.78572,
SD4D,-29.753193,-55.155211,
SWYE,-29.555833,-55.784444,
SS2X,-29.66319,-55.948492,
SDE6,-30.031667,-55.313611,
BR-0801,-30.058095,-55.435554,
BR-ALT,-1.917,-54.7231,ALT
SD8G,-1.614735,-54.547679,
SD9E,-1.394722,-55.126111,
SD7B,-0.755395,-55.053735,
BR-2196,-15.935718,-48.644728,
BR-0016,-16.06185,-48.5294,
BR-0894,-21.347703,-45.836725,
BR-2623,-27.824879,-49.236475,
BR-0151,-11.295845,-48.926706,
BR-0175,-11.304256,-48.679433,
SJC4,-11.436389,-47.125278,
BR-1606,-11.23,-47.165833,
BR-0276,-11.579887,-47.162158,
SDV9,-11.199761,-47.324064,
SWIV,-1.26805603504,-53.261390686,
BR-2722,0.290206,-53.87189,
SNSL,0.338457,-53.818049,
SI38,0.583874,-54.209777,
SJ4N,0.62,-54.427222,
SI34,0.851175,-54.650278,
SDQ3,1.951111,-55.1225,
SDK2,1.218611,-54.658611,
SS82,-0.075011,-53.11976,
SNAR,-16.165579,-40.684024,AMJ
SD5K,-27.09273,-53.022319,
SJJ3,-10.369722,-56.589722,
SN3T,-10.304088,-56.934845,
SJM8,-10.328198,-56.076828,
BR-1857,-9.704158,-56.01164,
SIX8,-10.38571,-56.579382,
SNOL,-9.969649,-56.216799,
SI3C,-10.458889,-56.343611,
SJJN,-10.282778,-56.325556,
SSHT,-10.1304620248,-56.7186355591,
SWQW,-10.051621,-56.832232,
BR-3130,-9.965737,-56.154791,
SWVH,-9.523333,-56.238333,
SWWN,-10.307853,-56.579088,
BR-3032,-10.0002784729,-57.067222595215,
BR-3034,-9.562828,-57.382689,
SWEN,-9.937751,-56.087244,
BR-2827,-10.416667,-56.388611,
BR-2427,-9.667778,-55.976665,
SJJK,-10.028889,-56.7383,
SJPP,-9.85694408416748,-56.00444412231445,
SJVM,-9.89194393157959,-56.12944412231445,
BR-2554,-10.281914,-56.466779,
BR-0074,-11.919358,-61.97612,
BR-1277,-12.429319,-62.141246,
BR-0478,-13.053664,-62.564564,
SN16,-12.182689,-62.408467,
SI9V,-11.87162,-61.989122,
SD9M,-13.095556,-62.387778,
SDFC,-20.489442,-49.188638,
SDNV,-9.503889,-54.011944,
SJBK,-5.679363,-54.244999,
BR-2572,-8.158442,-54.808134,
BR-2588,-6.188056,-54.072224,
BR-2878,-6.420713,-53.610569,
SNZE,-3.168979,-52.19025,
BR-2761,-3.290677,-52.263531,
